signatory_names,join_dates,signatory_descriptions,signatory_sites,sign_link
,Sep 12  2022,Bright Apps LLC is a remote team of innovative software engineers. As an organization they believe in being a good corporate partner and that extends to working with their team to ensure that they as a company leave the smallest footprint possible on the earth and that they provide tools to their team that will help encourage the same practices in their personal lives. They are committed to help in the lowering of carbon emissions to net zero by 2040.,https://brightappsllc.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/bright-apps-LLC.html
,Sep 12  2022,Park Your Truck is Europe's largest truck parking operator. Park Your Truck offers truck parking spaces in the close vicinity of its customers' depots or production sites and operates them according to customer requirements with its own 24/7 security service and yard management. Park Your Truck has a unique strategy to turn corporate spaces  airport/trade fair or stadium areas into truck parking spaces. Park Your Truck has already created over 30 000 additional truck parking spaces in Europe. A large part of these areas is now being electrified for commercial vehicles and equipped with night charging points and fast charging points. Because where drivers wait  they can also charge their e-truck. Park Your Truck spaces are also in the process of being equipped with other alternative fuels such as bio-LNG or bio-CNG or hydrogen in combination with photovoltaics  because Park Your Truck wants to massively expand the use of renewable energies for the commercial vehicle industry. A dedicated reservation system for the parking spaces and charging stations round off the Park Your Truck portfolio.,https://park-your-truck.com/?lang=en,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/park-your-truck.html
,Sep 9  2022,CleanChoice Energy is a climate solutions company with a vision of clean energy for everybody everywhere. CleanChoice develops solar farms and uses data-empowered technology to offer consumers easy  impactful climate solutions so they can cut emissions  support renewable energy and live cleaner lives. CleanChoice is a Certified B Corporation. CleanChoice is proud to join The Climate Pledge and be part of the community of companies and organizations committed to creating a world free of catastrophic climate change.,https://cleanchoiceenergy.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/cleanchoice-energy.html
,Sep 9  2022,Volt Energy Utility (Volt) is an African-American owned national utility-scale solar developer occupying a very unique position in the renewable energy sector. Volt develops utility-scale projects that decisively meet the clean energy  environmental and diversity goals of its clients. In 2021  Volt Energy Utility signed an agreement with Microsoft to supply the corporation with 250 megawatts of solar power. Volt Environmental Justice Power Purchase Agreement produces a funding stream from solar projects that support environmental justice causes through the Sharing the Power Foundation; an independently-operated entity founded by Volt. Volt’s founder and CEO Gilbert Campbell is a board member of the Solar Energy Industry Association and the Clean Energy Buyers Association.,https://www.voltenergyutility.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/volt-energy-utility.html
,Sep 8  2022,viaPhoton is a US-based fiber solutions provider for connectivity at the edge. The company has radically disrupted the market with proprietary technology platforms and a customer focus that allows a concept to go from prototype to scaled production in a matter of weeks  enabling faster deployment of data centers and 5G networks consistently  every single time. viaPhoton is committed to revolutionizing the connectivity industry in a sustainable way  and is developing a strategy to reduce scope 1  2  and 3 emissions to achieve net zero by 2040.,https://viaphoton.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/viaPhoton.html
,Sep 8  2022,The Seattle Aquarium is a conservation organization working to regenerate the health of our one ocean. The Aquarium works with other global leaders to advance marine and ecosystem science  animal well-being  public policy  field conservation and education that benefits our one ocean. The Aquarium’s vision is to become a regenerative aquarium—one that produces environmental benefits—and its regenerative plan outlines goals and strategies to achieve this vision and help ensure a climate-resilient  sustainable future for all.,https://www.seattleaquarium.org/sustainability,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Seattle-Aquarium.html
,Aug 15  2022,Prosus is a global consumer internet group and one of the largest technology investors in the world. The group is focused on building meaningful businesses in the online classifieds  food delivery  payments and fintech  and education technology sectors in markets including India  Russia  and Brazil. The portfolio of asset light  digital platforms is supporting the transition to a lower carbon economy by providing alternatives to traditional brick and mortar businesses and support for circular-economy innovations. Prosus recognizes the power of technology to catalyse the transition to greener economies.,https://www.prosus.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/prosus.html
,Aug 12  2022,Amogy is a sustainability technology startup company building an innovative portable carbon-free energy system using ammonia as a renewable fuel. This novel system offers extremely high energy density compared to Li-battery and gaseous hydrogen. Amogy's unique solution will enable the decarbonization of heavy ground/sea/air transportations  where the existing and emerging technologies have critical limitations due to their low energy densities.,https://www.amogy.co/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Amogy.html
,Aug 12  2022,Persefoni’s mission is to enable every organization to be climate conscious and positive with the world’s best climate software and data products. In achieving this mission  Persefoni believes the largest climate impact they can have as an organization is providing carbon visibility to their customers  in turn unlocking more proactive and real-time carbon management  however they also believe it is absolutely critical to lead by example  take aggressive action on their own carbon footprint  and make commitments that demonstrate their dedication to supporting urgent and universal action on climate change.,https://persefoni.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Persefoni.html
,Aug 3  2022,This signatory has not yet provided a description. This page will be updated once information becomes available.,https://www.ambev.com.br/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/ambev.html
,Jul 18  2022,Prologis  Inc. is the global leader in logistics real estate. In partnership with our customers and our communities  we develop modern  high-quality properties that set the standard for innovative building design and sustainability.  The company is committed to achieve net zero emissions across its entire value chain by 2040  which includes several interim targets such as 1 GW of solar generation capacity  supported by storage  by 2025 and net zero for operations by 2030. Through its Essentials platform  Prologis supports customers operations needs with a wide variety of services and solutions  including onsite solar  electric fleet infrastructure and more.,https://www.prologis.com/sustainability/environmental-stewardship/net-zero,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Prologis.html
,Jul 2  2022,Vegetable + Butcher is reimagining plant-forward  nourishing meals that taste good and leave no trace. We source ingredients with intentionality and hand deliver every meal to reduce reliance on resource-intensive shipping methods. Our meal containers are compostable  our labels are recyclable  and our bags are reusable.  We offset the emissions of 100% of our deliveries with our goal to achieve net-zero carbon by 2040.,https://vegetableandbutcher.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/vegetable-and-butcher.html
,Jun 30  2022,Coventry Building Society provides savings and residential mortgage products to individual savers and borrowers across the UK. Coventry Building Society remains committed to mutuality  and believe in putting the interests of Members First  as when they were founded in 1884. Being sustainable aligns to their core business strategy as a mutual organization. This is summed up in their brand promise that they are truly All together  better and reflects the fact that the Society believes the key to success is the success of its members  colleagues  suppliers and the communities they serve.,https://www.coventrybuildingsociety.co.uk/member/sustainability.html,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/coventry-building-society.html
,Jun 20  2022,Inspiration Mobility is the world’s only purpose-built investment and operational platform designed to accelerate the adoption of electric vehicles and the clean energy to fuel them. Inspiration reduces the cost and complexity of acquiring  managing and charging electric vehicles for its customers  which include ride hailing  car rental  car sharing companies as well as Fortune 100 companies. The company not only has adopted a plan to minimize Scope 1  2 and 3 carbon emissions for its operations  but its very platform is designed to help customers track and report on their own emissions reductions.,https://inspirationmobility.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Inspiration-Mobility.html
,Apr 26  2022,Aspiration is a leading sustainability as a service platform to help people and businesses put automated sustainable impact into their hands and integrate it into their daily lives. Aspiration is committed to enabling nature and planet positive solutions  helping bring finance and investment at scale to natural ecosystems. Aspiration has a goal of reducing its emissions intensity (tonne CO2e/$ revenue) by 50% by the end of the decade (compared to a 2020 baseline)  and achieving net zero emissions each year by investing in high quality nature-based carbon credits from projects around the world to help provide a model for investing both in climate and social impact.,https://www.aspiration.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Aspiration.html
,Apr 21  2022,BladeRoom Group  and its subsidiaries  have become market leaders in pre-engineered data centres and healthcare facilities over the past 3 decades  developing the world’s most efficient data centre and becoming the UK’s leading provider of operating theatres. It is BladeRoom's drive for innovation and more sustainable methods of construction which has helped guide the understanding of our carbon footprint and the impact BladeRoom have on our planet. BladeRoom believe the Climate Pledge provides sufficient accountability and assurance as we continue its journey to reduce its carbon footprint towards a goal of becoming Net Zero by 2040.,https://bladeroomgroup.co.uk/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Bladeroom-Group.html
,Apr 8  2022,NBBJ is an ideas-driven design firm. With an empathetic process rooted in research  making and the belief all voices should be heard  we pursue health  community and a zero-carbon future. As an early signatory of the 2030 challenge  today NBBJ has 7.5 million square feet of projects that meet the 2030 mandate of 80% fossil fuel reduction and more than five million square feet of net zero projects in design. NBBJ achieved CarbonNeutral certification in 2021 and has committed to a 50% reduction in emissions by 2030 and to be fully net zero carbon by 2040.,http://www.nbbj.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/nbbj.html
,Apr 6  2022,The Austrian Post Group is an international postal  logistics and service provider which is central to Austria´s economy. The company is firmly focused on the very highest quality and offers a comprehensive product and service portfolio to provide the best possible match for current customer needs. Austrian Post groups its operations into three divisions: Mail  Parcel and Logistics and Retail and Bank. Austrian Post strongly believes that sustainability needs to be at the heart of everything the company does in order for it to be fit for the futrue and sure of long-term success. The company´s integrated strategy demonstrates this belief. In addition to economic aspects  the strategy also incorporates ecological and social factors.,https://www.post.at/en/ir/c/crs-sustainability,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Austrian-Post.html
,Mar 31  2022,Lawton Communications Group  as well as their individual subsidiary businesses Five by Five and dragonfish consulting  are committed to improving their environmental performance and ensuring they are truly sustainable businesses. Lawton Communications Group's environmental and sustainability vision is to be carbon neutral by 2030. Furthermore  they have adopted a roadmap  in line with carbon science  to reduce scope 1  2 and 3 emissions and to achieve net zero by 2040.,https://lawtoncommsgroup.com/content/LCG_Environmental_Sustainability_Policy.pdf,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Lawton-Communications.html
,Mar 25  2022,Ryan Companies US  Inc. is a national commercial real estate solutions provider. Since 1938  Ryan has been guided by one simple principle: “Always do the right thing.“ Now more than ever  doing the right thing includes taking bold and transformative actions to address the global challenge of climate change. Ryan’s Thriving Sustainably strategy includes fundamentally redefining the relationship between the built and natural environments  while focusing on reducing Scopes 1  2  and 3 carbon emissions to achieve net zero carbon emissions by 2040.,https://www.ryancompanies.com/impact,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Ryan-Companies.html
,Mar 24  2022,AssetLab provides outsouced digital marketing solutions that meet the needs of small business owners and managers needing to increase leads and generate new sales. AssetLab is dedicated to being the execution partner that business managers need to achieve inbound sales and marketing goals. AssetLab's commitment to sustainability began in 2019 when the leadership team added Community as a company value and started a 3x offset of annual carbon emissions from operations and the emissions of all the digitial marketing they manage for clients. Recently the AssetLab team became a signatory to The Climate Pledge to declare their commitment to building a sustainabile future that supports vibrant communities.,https://assetlab.us/climate,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/AssetLab.html
,Mar 22  2022,Black and White Engineering is a multi-award-winning global engineering consultancy. With offices in the UK  Europe  Middle East  Asia and Australia  they provide a wide range of MEP consultancy services. Their engineers and work have been recognised by their peers within the industry with their awards and recognitions totalling over 100 in the last decade. They are committed to minimising the negative impact of the built environment and working towards net zero carbon in their designs and operations. Black and White Engineering are committed to becoming Net Zero Carbon by 2030 across Scope 1  2 and 3 Emissions. They are currently in the process of determining their carbon emissions for their baseline year and developing a reduction strategy.,https://www.bw-engineering.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Black-and-White-Engineering.html
,Feb 3  2022,Up2You is the greentech and B Corp certified startup that enables companies to reduce their environmental impact. We offset their CO₂ emissions and then certify their commitment on blockchain.  We encourage sustainable actions and study low-impact business models. At Up2You we create digital tools to make every company greener and offer products to measure  reduce and offset emissions  but also to engage their employees.  We support sustainable projects with social and environmental impact  capable of capturing CO₂  preserving forests  protecting ecosystems  and developing sustainable technologies. ,https://www.u2y.it/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/up2you.html
,Feb 1  2022,euNetworks is a Western European bandwidth infrastructure company that owns and operate dense fibre networks in 17 cities and a long haul network spanning 17 countries. The company embeds key values of trust  diversity  integrity  societal consideration and collaboration in day-to-day decision making and its long-term strategy to achieve sustainable and ambitious results. euNetworks has set 1.5C-aligned science-based targets across Scopes 1  2 and 3 and committed to being net zero carbon by 2040. euNetworks’ immediate actions include an innovative approach to designing and deploying new networks in Europe  with an understanding of the long-term carbon cost. This approach also leads to the company making changes and additional investments to reduce the impact on the environment.,https://eunetworks.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/euNetworks_Group.html
,Jan 31  2022,Pearson’s purpose is simple: to add life to a lifetime of learning. Pearson believes that every learning opportunity is a chance for a personal breakthrough. That’s why c.20 000 Pearson employees are committed to creating vibrant and enriching learning experiences designed for real-life impact. Pearson continues to evolve their sustainable business plan to align with their company strategy and purpose and to drive learning for everyone. They have placed renewed energy into building their talent and innovation culture  so their people can make a difference at scale. As Pearson becomes more digital  they’re providing products with a smaller carbon footprint  along with products and services that meet the demands of a green economy and content that influences action. As such  Pearson is on track with their goal to become a net-zero carbon business by 2030. ,https://plc.pearson.com/purpose/sustainability/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/pearson.html
,Jan 31  2022,Tech Mahindra offers innovative and customer-centric digital experiences  enabling enterprises  associates and the society to Rise. It is a USD 5.1 billion organization with 145 000+ professionals across 90 countries helping 1191 global customers  including Fortune 500 companies. It is focused on leveraging next-generation technologies including 5G  Blockchain  Quantum Computing  Cybersecurity  Artificial Intelligence  and more  to enable end-to-end digital transformation for global customers. With the NXT.NOWTM framework  Tech Mahindra aims to enhance ‘Human Centric Experience’ for its ecosystem and drive collaborative disruption with synergies arising from a robust portfolio of companies. Tech Mahindra aims at delivering tomorrow’s experiences today  and believes that the ‘Future is Now’.,https://www.techmahindra.com/en-in/?f=342861482,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/tech_mahindra.html
,Jan 31  2022,Weyerhaeuser manages millions of acres of timberlands and operate dozens of wood products manufacturing facilities and distribution centers across North America. Their timberlands provide clean air and water  wildlife habitat  recreational opportunities  renewable energy  and a sustainable supply of wood for homes and countless products we all depend on every day. Weyerhaeuser’s forests and mills provide great jobs and support local economies in rural areas across North America. With every decision Weyerhaeuser makes  they aim to preserve their ability to continue operating responsibly for another century and more.,https://www.weyerhaeuser.com/sustainability,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/weyerhaeuser.html
,Jan 28  2022,West Monroe is a digital consulting firm that works in diverse  multidisciplinary teams of industry  operations  and technology experts to deliver quantifiable financial value. We help clients be digital. West Monroe has hastened its sustainability efforts and now seeks to reach the net zero by 2040 goal by establishing a long-term sustainability strategy that benefits our clients  people  and communities. West Monroe believes that climate change demands urgent and universal action and is proud to sign The Climate Pledge with a commitment to being net zero carbon by 2040 at the latest across Scopes 1  2 and 3 — ten years ahead of The Paris Agreement.,https://www.westmonroe.com/values/corporate-social-responsibility,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/west_monroe.html
,Jan 28  2022,As a premier print manufacturer and expert design studio  Meyers has been helping our clients and their brands stand out  attract new customers  and drive more sales since 1949. Meyers designs and manufactures product labeling  packaging  and retail merchandising solutions for leading consumer packaged goods brands and retailers. Meyers has been committed to sustainability for decades  has recently adopted a roadmap to reduce Scope 1  2  and 3 carbon emissions  and will achieve net zero carbon emissions by 2040 or earlier.,https://www.meyers.com/sustainability/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/meyers.html
,Jan 26  2022,DIGITALL is a digital leader born from two technology and business-driven consulting companies with more than 20 years of success and experience on the global market. The company delivers next-generation Digital Transformation and Cloud Experience to enterprises by leveraging best-in-class partner technologies and its own innovative solutions. DIGITALL transforms the core business processes of its customers securely in the digital world and empowers them to be among the leaders in their industry and scale globally. The company operates on a global scale with over 1 400 employees across 27 offices in 12 countries located in Europe and North America.,https://digitall.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Digitall.html
,Dec 1  2021,ROBUR has defined sustainability as a central field of action for its own business activities and the further development of the company. ROBUR understands sustainability as a holistic process that is anchored at the highest management level in line with its prominent strategic importance. The challenges of ecological change are ROBURs drive for creating efficient and optimized solutions for the benefit of our customers  the environment and future generations.,http://www.robur-industry-service.com/en/sustainability,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/ROBUR_Industry_Service_Group_GmbH.html
,Nov 30  2021,Maya Cosmetics is America's leading halal & vegan cosmetics company with distribution in 30 countries. Women of all cultures and backgrounds should be able to enjoy cosmetics that are non-toxic and produced ethically. Although a young company Maya's commitment to sustainability spans years  and they recently adopted a roadmap to reduce Scope 1  2  and 3 carbon emissions in line with climate science  and to achieve net zero carbon emissions by 2040.,https://www.maya-cosmetics.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/maya_cosmetics.html
,Nov 30  2021,1. E Ink Holdings Inc.  the world leader in ePaper technology  engages in the research  development  manufacturing and sale of display devices and materials related to electronic paper technology  e.g.  FPL Film and ePaper Display (EPD). 2. Major products are EPD modules. Applications include eReaders  Electronic Shelf Labels (ESL)  eNotes  Mobile devices  and Digital Signage  etc. 3. Environmental Sustainability: E Ink Holdings Inc builds green operations and manufacturing models based on environmentally friendly technologies and products 4. Social Inclusion: Supports epidemic prevention work with actions  promote digital reading literacy  and build a beautiful and inclusive society. 5. Corporate Governance: Adheres to the principle of transparency and integrity and carry through the philosophy of sustainable corporate operation.,https://www.eink.com/csr.html?type=reports,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/e_ink_holdings_inc.html
,Nov 28  2021,SMS has been at the heart of the UK energy market for over 25 years. We are a major smart metering and energy services business playing a critical role in transforming and decarbonising the UK’s energy system. Through our range of innovative solutions  SMS's mission is to deliver the future of smart energy  working closely with both private and public sectors to achieve the UK’s net-zero carbon target by 2050. Driven by the need for urgent action to reverse climate change  in 2020 we launched an ambitious target to become a Net Zero business by 2030 – two decades ahead of the UK Government’s target. We have shared our Net Zero roadmap which includes key milestones to transition our Scope 1 and 2 emissions sources supported by the solutions and services we provide and addressing our scope 3 with suppliers and customers.,https://www.sms-plc.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/sms_plc.html
,Nov 27  2021,Superpedestrian is a world-leader in transportation robotics and human-scale mobility. We operate shared e-scooter fleets in more than 50 cities across eight countries  including in Los Angeles  Madrid  Stockholm  Rome and Vienna; providing a safe and lower carbon alternative to cars for short journeys. We are fully carbon neutral (certified by Climate Neutral).,https://www.superpedestrian.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/superpedestrian.html
,Nov 25  2021,Electric Driver is a website that helps car shoppers become electric vehicle owners. First  Electric Driver helps shoppers by recommending electric vehicles that closely meet their individual needs. Then Electric Driver helps shoppers understand how electric cars can help them save time  money  and the environment. Finally  Electric Driver helps demystify electric vehicle ownership. The vision of an all-electric future is at the core of Electric Driver’s beliefs. As a result  Electric Driver has committed to a roadmap to reduce Scope 1  2  and 3 carbon emissions in line with climate science and achieve net-zero carbon emissions by 2040.,https://electricdriver.co/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/electric_driver.html
,Nov 22  2021,Accordant Solutions specializes in transformations. From origins in IT services  cloud adoption  financial analysis and onwards Accordant now helps companies navigate change with a view on Social  Carbon and Financial values.,https://accordantsolutions.co.uk/transformation-economics/esg-sustainability-and-social-value/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/accordant_solutionsltd.html
,Nov 22  2021,JACK RYAN is a leading Full-service Performance Marketing Agency.  In 2021  JACK RYAN published our sustainability framework #JACKtoZero  which commits us to reach Net-Zero carbon emissions missions by 2030. To deliver this ambitious target  JACK RYAN is integrating BS ISO 50005:2021 to manage energy performance and meet Net-Zero. In addition  JACK RYAN has made significant investments in a credible carbon offset strategy  supporting small scale offshore wind projects and protecting lowland peat forests in low-income countries.,https://www.wearejackryan.com/impact,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/jack_ryan.html
,Nov 3  2021,HARMAN designs and engineers connected products and solutions for automakers  consumers  and enterprises worldwide. We strive to enhance the social and environmental fabric of the communities and markets we serve through sustainable innovation and rich experiences. Sustainability is a critically important focus area for HARMAN and is deeply linked to our core values and DNA as an organization. HARMAN is committed to achieving carbon neutrality across Scope 1  2 and 3 by 2040.,https://sustainability.harman.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/harman.html
,Nov 2  2021,This signatory has not yet provided a description. This page will be updated once information becomes available.,https://monogrammedia.co.uk/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/monogram_media.html
,Nov 2  2021,Rye Demolition has been providing demolition and supporting services to developers for 16 years. Rye is committed to delivering excellence and drives this through its Sustainable Standard philosophy covering five pillars; Health & Safety  Environmental  Quality  People and Community. As part of this programme  Rye are looking to achieve Net Zero status by 2030 and have already begun work to dramatically reduce emissions.,http://www.ryegroup.co.uk/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/RyeDemolition.html
,Nov 1  2021,Arrival was founded in 2015 with a mission to make air clean by replacing all vehicles with affordable electric solutions produced by local microfactories. Six years and over 2 000 people later  Arrival is leading the transition to electric vehicles globally by creating products that are zero-emissions  more desirable  more sustainable  and more equitable than ever before. Arrival's in-house technologies enable a radical new method of design and production using rapidly-scalable  local microfactories around the world. This method supports cities and governments in achieving their own sustainability goals while supercharging their communities  and contributes to the collective goal of achieving the Paris Agreement 10 years early.,https://arrival.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/arrival_group.html
,Oct 29  2021,Zephyr Environmental is a Zephyr is an environmental consulting practice specialising in air emissions and carbon management. The company forms enduring and trust-based relationships with its clients to help them solve their hardest environmental challenges. While head office is located in Sydney  Australia  the company leverages technology to service clients across Australia and Asia Pacific.,https://www.zephyrenviro.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/zephyr_environmental.html
,Oct 28  2021,Established in 2003  Fortescue is a global leader in the iron ore industry  recognized for its culture  innovation  and industry-leading development of world-class infrastructure and mining assets in the Pilbara  Western Australia. Fortescue has commenced its transition from a pure play iron ore producer to a green renewables and resources company. This is underpinned by Fortescue’s industry-leading targets to be carbon neutral by 2030 in its mining operations and to achieve net-zero Scope 3 emissions by 2040. Fortescue Future Industries will be a key enabler of these targets  investing in cutting-edge technologies to remove the use of fossil fuels to decarbonize Fortescue’s mining operations  including stationary power  buses  trucks  drill rigs  and locomotives. Fortescue is also working with its customers  suppliers  and other industry participants to facilitate the reduction of emissions from iron and steel production  as well as shipping  including from its own fleet of ore carriers.,https://www.fmgl.com.au/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/fortescue.html
,Oct 28  2021,SEGRO is a leading owner  manager and developer of modern warehouses and industrial property  with 8.8 million square metres of space in the UK and seven other European countries. For over 100 years SEGRO has been creating the space that enables extraordinary things to happen  from modern big box warehousing used as distribution hubs to urban warehouses. A commitment to be a force for societal and environmental good is integral to SEGRO’s purpose and strategy. Its Responsible SEGRO framework focuses on three long-term priorities where the company believes it can make the greatest impact: championing low-carbon growth  investing in local communities and environments  and nurturing talent.,https://www.segro.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/segro.html
